"","X","BD","year","yd","monthproxy","smax","zmax","delta","sanom","sb","zt","zb","N2","zn2","tmax","tt","tb","smax_yn","Name","NumofPoly","NumofSta","Region","Area","Type","lon","lat"
"4470",4469,48,1995,44,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.855,35.5383
"4471",4470,50,1995,44,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.91,36.2267
"4519",4518,100,1995,71,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8433,35.9867
"4984",4983,90,1995,251,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8717,36.07
"5271",5270,97,1996,41,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.7783,36.4817
"5274",5273,90,1996,41,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8833,36.0333
"5275",5274,110,1996,41,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8267,35.9883
"5276",5275,55,1996,41,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.9717,35.86
"5277",5276,59,1996,41,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.9467,35.7283
"5278",5277,83,1996,41,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.865,35.6983
"5381",5380,86,1996,70,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.825,36.3567
"5382",5381,89,1996,70,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.86,36.1283
"5385",5384,58,1996,70,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.95,35.8933
"5387",5386,58,1996,70,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.955,35.765
"5388",5387,100,1996,70,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.88,35.81
"5389",5388,96,1996,70,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8767,35.79
"5711",5710,78,1996,215,4,32.66,26,3.31847133757964,0.256999999999998,32.403,23.6815286624204,27,0.00492861288002496,11,10.83,12.097898089172,9.65,1,1,1,1,"MAB",1540.431866,"SB",-74.8,36.5
"6000",5999,60,1996,256,5,32.595,17,21.1053811659193,0.443999999999996,32.151,13.8946188340807,35,0.005060456021672,14,16.42,22.2143721973094,12.22,1,1,1,1,"MAB",1540.431866,"SB",-74.9067,36.2417
"6001",6000,140,1996,256,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.7867,36.1983
"6002",6001,112,1996,256,5,32.703,19,10.299794661191,0.461000000000006,32.242,17.700205338809,28,0.00415084478954298,17,17.83,19.6737987679671,11.49,1,1,1,1,"MAB",1540.431866,"SB",-74.8167,36.01
"6396",6395,69,1997,38,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8333,36.4267
"6397",6396,92,1997,38,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.815,36.275
"6398",6397,59,1997,38,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.955,35.8883
"6399",6398,111,1997,38,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8567,35.7567
"6496",6495,64,1997,66,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.9017,36.2183
"6497",6496,119,1997,66,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8117,36.035
"6498",6497,135,1997,66,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8367,35.7
"7073",7072,144,1997,255,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.7867,36.195
