"","spp","Region","Type","bin","n","mean_ct","se_ct","conf_interval05","conf_interval95"
"165","cermad","SNE","MS",1,1000,4.52221043205231,0.0174483811041916,3.58455820767432,5.4156335365013
"166","cermad","SNE","MS",2,1000,4.00084922318871,0.00676049342824276,3.60352506518682,4.46206818541268
"167","cermad","SNE","MS",3,1000,4.99784974652318,0.00437310610592483,4.72374116761074,5.27126476292881
"168","cermad","SNE","MS",4,1000,4.90106148362327,0.00382373221809725,4.62305024704454,5.10292204235482
"169","cermad","SNE","MS",5,1000,4.69860508797498,0.0121477182970595,4.19270922753007,5.48353313395352
"170","cermad","SNE","SB",1,1000,4.92936420567982,0.00239249172034917,4.74484863909518,5.03918197372079
"171","cermad","SNE","SB",2,1000,4.00998283080542,0.010384870270502,3.43034490772192,4.74935020617175
"172","cermad","SNE","SB",3,1000,4.98075855996989,0.00726854971443597,4.39345730633912,5.43732266828859
"173","cermad","SNE","SB",4,1000,4.97713943360384,0.0117628694668916,4.399703233779,5.74296887436642
"174","cermad","SNE","SB",5,1000,5.12996744439632,0.00581795285660942,4.72421126344236,5.44233406432648
"175","citarc","MAB","MS",1,1000,5.26774777620851,0.00266747562566644,5.11253868382458,5.44302032759948
"176","citarc","MAB","MS",2,1000,4.48748447570873,0.00383800382116659,4.26329554877134,4.74534405449394
"177","citarc","MAB","MS",3,1000,4.75320725230643,0.00292908189060446,4.58009258006479,4.94608366189579
"178","citarc","MAB","MS",4,1000,4.85639512333786,0.00248940176281832,4.68453965910272,5.00012229944037
"179","citarc","MAB","MS",5,1000,4.75928175086415,0.00312875811403463,4.56260283934427,4.94696853080911
"180","citarc","MAB","SB",1,1000,5.44643509325776,0.00615722699263901,5.07864081566774,5.80803144789432
"181","citarc","MAB","SB",2,1000,4.82322677670437,0.00248319060731805,4.64534136972726,4.95458253416385
"182","citarc","MAB","SB",3,1000,4.382529448068,0.00528247303570635,4.15981473492252,4.81210316242079
