"","Region","Type",".y.","group1","group2","n1","n2","estimate","conf.low","conf.high","se","statistic","df","p.adj","p.adj.signif","method"
"38","GOM","BASIN","diff_ci","wind2","wind5",3,3,0.278252842557329,-1.36723456388762,1.92374024900228,0.214585715458783,0.916903864901073,3.20562359995603,0.92,"ns","Games-Howell"
"39","GOM","BASIN","diff_ci","wind2","wind6",3,3,-0.343954806514144,-1.64377172565792,0.955862112629634,0.183752148742176,1.32359146694449,3.63866724104817,0.766,"ns","Games-Howell"
"40","GOM","BASIN","diff_ci","wind3","wind4",3,3,0.0822816628443901,-0.966035965708034,1.13059929139681,0.153150237194372,0.379900957585403,3.85280262867371,0.998,"ns","Games-Howell"
"41","GOM","BASIN","diff_ci","wind3","wind5",3,3,0.15843599584313,-1.51845146634343,1.83532345802968,0.209570738403327,0.534574473031211,3.01820191328607,0.99,"ns","Games-Howell"
"42","GOM","BASIN","diff_ci","wind3","wind6",3,3,-0.463771653228344,-1.76600143568493,0.838458129228245,0.177869944856698,1.8436846156559,3.43982635764493,0.538,"ns","Games-Howell"
"43","GOM","BASIN","diff_ci","wind4","wind5",3,3,0.0761543329987394,-1.54959486352964,1.70190352952712,0.220237252421943,0.244505616956117,3.39554309060214,1,"ns","Games-Howell"
"44","GOM","BASIN","diff_ci","wind4","wind6",3,3,-0.546053316072734,-1.85780872956702,0.765702097421548,0.190321491804724,2.02876721395501,3.80578255115779,0.458,"ns","Games-Howell"
"45","GOM","BASIN","diff_ci","wind5","wind6",3,3,-0.622207649071473,-2.25960516960749,1.01518987146454,0.23809067492239,1.84789785701601,3.82064327809966,0.53,"ns","Games-Howell"
"46","GOM","IS","diff_ci","wind1","wind2",10,10,-0.113393255765415,-0.792823252506555,0.566036740975724,0.150726339360664,0.531965019734773,17.5303543414159,0.994,"ns","Games-Howell"
"47","GOM","IS","diff_ci","wind1","wind3",10,10,-0.15988465679901,-0.829886657846996,0.510117344248976,0.148417477774462,0.761739969749822,17.3065934481133,0.97,"ns","Games-Howell"
"48","GOM","IS","diff_ci","wind1","wind4",10,10,-0.187484845325428,-0.881327507165115,0.506357816514259,0.15416414078611,0.859939314183663,17.7755978154935,0.951,"ns","Games-Howell"
"49","GOM","IS","diff_ci","wind1","wind5",10,10,-0.138070885183444,-0.872435943580157,0.596294173213269,0.163393130046509,0.597521200370252,17.998287933899,0.99,"ns","Games-Howell"
"50","GOM","IS","diff_ci","wind1","wind6",10,10,-0.0993663963166271,-0.802915900155414,0.60418310752216,0.156426993578479,0.449172173230489,17.8843705016125,0.997,"ns","Games-Howell"
"51","GOM","IS","diff_ci","wind2","wind3",10,10,-0.0464914010335945,-0.654734167075523,0.561751365008334,0.135311658458302,0.242953085582411,17.974421803506,1,"ns","Games-Howell"
"52","GOM","IS","diff_ci","wind2","wind4",10,10,-0.0740915895600127,-0.71065373585128,0.562470556731254,0.141591240937153,0.370013463121139,17.9509328567554,0.999,"ns","Games-Howell"
"53","GOM","IS","diff_ci","wind2","wind5",10,10,-0.0246776294180288,-0.708230541050206,0.658875282214148,0.151587638520423,0.115113074360254,17.4760251877459,1,"ns","Games-Howell"
"54","GOM","IS","diff_ci","wind2","wind6",10,10,0.0140268594487883,-0.633910124799209,0.661963843696786,0.144051732116642,0.06885364923594,17.8727443228649,1,"ns","Games-Howell"
"55","GOM","IS","diff_ci","wind3","wind4",10,10,-0.0276001885264182,-0.653468805196226,0.59826842814339,0.139130865885287,0.140272831228899,17.8559196300355,1,"ns","Games-Howell"
"56","GOM","IS","diff_ci","wind3","wind5",10,10,0.0218137716155657,-0.652421005706214,0.696048548937345,0.149292097862095,0.103318702419664,17.243128674154,1,"ns","Games-Howell"
"57","GOM","IS","diff_ci","wind3","wind6",10,10,0.0605182604823828,-0.577084664988797,0.698121185953563,0.141634105559613,0.302136778451963,17.73722534294,1,"ns","Games-Howell"
"58","GOM","IS","diff_ci","wind4","wind5",10,10,0.049413960141984,-0.64839244688784,0.747220367171808,0.155006338836359,0.225416241451687,17.7361159817256,1,"ns","Games-Howell"
"59","GOM","IS","diff_ci","wind4","wind6",10,10,0.0881184490088011,-0.575536313408329,0.751773211425931,0.147645028541628,0.422019985753848,17.9813088207771,0.998,"ns","Games-Howell"
"60","GOM","IS","diff_ci","wind5","wind6",10,10,0.0387044888668171,-0.668707039812602,0.746116017546237,0.157257073275366,0.174034820628782,17.8550838892277,1,"ns","Games-Howell"
"61","GOM","MS","diff_ci","wind1","wind2",12,12,-0.0560298604834777,-0.948621231531957,0.836561510565001,0.202587291724557,0.195565545891548,21.9727691487965,1,"ns","Games-Howell"
"62","GOM","MS","diff_ci","wind1","wind3",12,12,-0.104316409651461,-0.992385319177955,0.783752499875032,0.201545087227739,0.365986795650508,21.9536719713422,0.999,"ns","Games-Howell"
"63","GOM","MS","diff_ci","wind1","wind4",12,12,-0.0903126796303957,-0.96560615152411,0.784980792263318,0.198576403394193,0.321592631864782,21.8688381828377,0.999,"ns","Games-Howell"
"64","GOM","MS","diff_ci","wind1","wind5",12,12,-0.0428378664915368,-0.945667190829795,0.859991457846722,0.204931254385339,0.147810279005918,21.9970102985853,1,"ns","Games-Howell"
"65","GOM","MS","diff_ci","wind1","wind6",12,12,-0.15389223874628,-1.03869640600299,0.730911928510432,0.20078998574182,0.541950561864147,21.936460875644,0.994,"ns","Games-Howell"
"66","GOM","MS","diff_ci","wind2","wind3",12,12,-0.0482865491679838,-0.920262540174046,0.823689441838079,0.197928284898665,0.172505644528066,21.997457305299,1,"ns","Games-Howell"
"67","GOM","MS","diff_ci","wind2","wind4",12,12,-0.034282819146918,-0.893066985917789,0.824501347623953,0.194904519604507,0.124376868972397,21.9606013830898,1,"ns","Games-Howell"
"68","GOM","MS","diff_ci","wind2","wind5",12,12,0.0131919939919409,-0.874004769394541,0.900388757378423,0.20137527852554,0.0463222123260307,21.9878001834606,1,"ns","Games-Howell"
"69","GOM","MS","diff_ci","wind2","wind6",12,12,-0.0978623782628019,-0.966468849942471,0.770744093416868,0.197159331890455,0.35098085710251,21.9923498634794,0.999,"ns","Games-Howell"
"70","GOM","MS","diff_ci","wind3","wind4",12,12,0.0140037300210658,-0.839945386564209,0.867952846606341,0.19382100809667,0.051089056635504,21.9780266155783,1,"ns","Games-Howell"
"71","GOM","MS","diff_ci","wind3","wind5",12,12,0.0614785431599247,-0.821148064876256,0.944105151196105,0.200326768602164,0.217004921854378,21.9741510149735,1,"ns","Games-Howell"
